,Sentiment
734,positive
735,positive
736,neutral
737,neutral
738,neutral
739,neutral
740,neutral
741,neutral
742,neutral
743,positive
744,neutral
745,positive
746,neutral
747,negative
748,neutral
749,neutral
750,positive
751,neutral
752,positive
753,positive
754,neutral
755,neutral
756,neutral
757,positive
758,neutral
759,neutral
760,neutral
761,positive
762,neutral
763,neutral
764,neutral
765,neutral
766,neutral
767,positive
768,neutral
769,negative
770,positive
771,neutral
772,positive
773,positive
774,positive
775,positive
776,neutral
777,positive
778,neutral
779,positive
780,positive
781,negative
782,neutral
783,neutral
784,neutral
785,neutral
786,neutral
787,positive
788,neutral
789,neutral
790,neutral
791,neutral
792,neutral
793,neutral
794,neutral
795,neutral
796,neutral
797,negative
798,neutral
799,neutral
800,positive
801,neutral
802,negative
803,neutral
804,neutral
805,positive
806,negative
807,neutral
808,neutral
809,neutral
810,positive
811,neutral
812,neutral
813,positive
814,neutral
815,positive
816,neutral
817,neutral
818,neutral
819,neutral
820,positive
821,neutral
822,positive
823,positive
824,positive
825,neutral
826,positive
827,neutral
828,neutral
829,neutral
830,neutral
831,positive
832,neutral
833,neutral
834,neutral
835,positive
836,neutral
837,neutral
838,neutral
839,neutral
840,positive
841,positive
842,positive
843,positive
844,neutral
845,neutral
846,neutral
847,positive
848,neutral
849,positive
850,positive
851,neutral
852,neutral
853,neutral
854,neutral
855,negative
856,neutral
857,positive
858,neutral
859,neutral
860,neutral
861,neutral
862,positive
863,positive
864,neutral
865,neutral
866,neutral
867,neutral
868,neutral
869,neutral
870,negative
871,neutral
872,neutral
873,neutral
874,neutral
875,neutral
876,neutral
877,positive
878,neutral
879,positive
880,positive
881,neutral
882,neutral
883,neutral
884,neutral
885,neutral
886,neutral
887,positive
888,neutral
889,positive
890,negative
891,neutral
892,neutral
893,positive
894,negative
895,neutral
896,neutral
897,neutral
898,positive
899,positive
900,neutral
901,neutral
902,neutral
903,neutral
904,neutral
905,neutral
906,positive
907,positive
908,neutral
909,neutral
910,neutral
911,neutral
912,positive
913,neutral
914,positive
915,neutral
916,positive
917,neutral
918,neutral
919,positive
920,negative
921,positive
922,neutral
923,neutral
924,neutral
925,positive
926,neutral
927,neutral
928,neutral
929,neutral
930,neutral
931,neutral
932,neutral
933,negative
934,neutral
935,positive
936,neutral
937,positive
938,positive
939,neutral
940,neutral
941,neutral
942,neutral
943,positive
944,negative
945,positive
946,neutral
947,negative
948,neutral
949,positive
950,neutral
951,positive
952,neutral
953,positive
954,positive
955,neutral
956,neutral
957,neutral
958,neutral
959,neutral
960,positive
961,neutral
962,neutral
963,neutral
964,negative
965,neutral
966,neutral
967,neutral
968,neutral
969,neutral
970,neutral
971,positive
972,neutral
973,neutral
974,neutral
975,neutral
976,positive
